Date Range,Average Glucose level
2020-05-23 - 2020-05-29,133.25
2020-05-30 - 2020-06-05,161.01
2020-06-06 - 2020-06-12,182.63
2020-06-13 - 2020-06-19,164.76
2020-06-20 - 2020-06-26,165.69
2020-06-27 - 2020-07-03,140.28
2020-07-04 - 2020-07-10,165.75
2020-07-11 - 2020-07-17,166.45
2020-07-18 - 2020-07-24,161.81
2020-07-25 - 2020-07-31,155.64
2020-08-01 - 2020-08-07,149.67
2020-08-08 - 2020-08-14,188.31
2020-08-15 - 2020-08-21,227.09
2020-08-22 - 2020-08-28,151.9
2020-08-29 - 2020-09-04,157.41
2020-09-05 - 2020-09-11,147.93
2020-09-12 - 2020-09-18,160.58
2020-09-19 - 2020-09-25,159.1
2020-09-26 - 2020-10-02,165.84
2020-10-03 - 2020-10-09,151.88
2020-10-10 - 2020-10-16,181.77
